variant,concurrency,deployment_id,sample_point,container_count,cpu_sum_percent_instantaneous,memory_bytes_instantaneous,net_input_bytes_cumulative,net_output_bytes_cumulative,collected_at,success,error
PP_RETF,10,e6-20260713T122808.004988600,before_recorded_batch,20,18.520000000,2170049003.519999981,2301806200.000000000,2312818000.000000000,2026-07-13T12:28:21.0485284Z,true,
PP_RETF,10,e6-20260713T122808.004988600,after_recorded_batch,20,19.140000000,2311984250.880000591,2330836200.000000000,2357328000.000000000,2026-07-13T12:28:31.5574475Z,true,
PP_RETF,1,e6-20260713T122808.004988600,before_recorded_batch,20,33.700000000,2275105832.960000038,2337066200.000000000,2362218000.000000000,2026-07-13T12:28:47.9053563Z,true,
PP_RETF,1,e6-20260713T122808.004988600,after_recorded_batch,20,21.820000000,2231831101.440000057,2375606200.000000000,2402388000.000000000,2026-07-13T12:30:45.3128956Z,true,
Plain_RETF,5,e6-20260713T122808.004988600,before_recorded_batch,20,14.460000000,2231097098.240000248,2377816200.000000000,2403708000.000000000,2026-07-13T12:30:49.6355471Z,true,
Plain_RETF,5,e6-20260713T122808.004988600,after_recorded_batch,20,35.740000000,2242474147.839999676,2386566200.000000000,2416688000.000000000,2026-07-13T12:31:08.6741181Z,true,
Plain_RETF,1,e6-20260713T122808.004988600,before_recorded_batch,20,16.020000000,2241467514.880000114,2390806200.000000000,2419028000.000000000,2026-07-13T12:31:21.2240967Z,true,
Plain_RETF,1,e6-20260713T122808.004988600,after_recorded_batch,20,17.460000000,2222519746.560000420,2405716200.000000000,2434458000.000000000,2026-07-13T12:32:46.1043083Z,true,
Plain_RETF,20,e6-20260713T122808.004988600,before_recorded_batch,20,13.440000000,2223872409.599999905,2406936200.000000000,2435678000.000000000,2026-07-13T12:32:50.4697068Z,true,
Plain_RETF,20,e6-20260713T122808.004988600,after_recorded_batch,20,33.640000000,2226588221.439999580,2416666200.000000000,2449738000.000000000,2026-07-13T12:32:53.4055666Z,true,
PP_RETF,5,e6-20260713T122808.004988600,before_recorded_batch,20,30.060000000,2203037204.480000496,2418886200.000000000,2453578000.000000000,2026-07-13T12:32:58.254739Z,true,
PP_RETF,5,e6-20260713T122808.004988600,after_recorded_batch,20,13.950000000,2254522286.080000401,2450946200.000000000,2491098000.000000000,2026-07-13T12:33:26.50241Z,true,
Plain_RETF,10,e6-20260713T122808.004988600,before_recorded_batch,20,16.040000000,2247161282.559999943,2453146200.000000000,2493308000.000000000,2026-07-13T12:33:30.8526861Z,true,
Plain_RETF,10,e6-20260713T122808.004988600,after_recorded_batch,20,39.510000000,2252383191.039999962,2459886200.000000000,2507338000.000000000,2026-07-13T12:33:33.6796272Z,true,
PP_RETF,20,e6-20260713T122808.004988600,before_recorded_batch,20,31.560000000,2257479270.400000095,2466106200.000000000,2511058000.000000000,2026-07-13T12:33:38.4728888Z,true,
PP_RETF,20,e6-20260713T122808.004988600,after_recorded_batch,20,17.760000000,2332767027.200000286,2496026200.000000000,2555418000.000000000,2026-07-13T12:33:46.9231855Z,true,
