modulus_bits,hash_to_prime_bits,user_count,run_id,seed,deployment_id,warmups_discarded,operation,layer,value,unit,latency_ms,scope,setup_included,rsa_setup_included,success,error
2048,256,100,1,2026,local-e2-production-2048,1,hash_to_prime,regional,0.503800000,ms,0.503800000,one deterministic 256-bit prime representative; prime search included; RSA setup excluded,false,false,true,
2048,256,100,1,2026,local-e2-production-2048,1,hash_to_prime,global,2.004500000,ms,2.004500000,one deterministic 256-bit prime representative; prime search included; RSA setup excluded,false,false,true,
2048,256,100,1,2026,local-e2-production-2048,1,two_layer_hash_to_prime,two_layer,2.508300000,ms,2.508300000,sum for one regional and one global representative,false,false,true,
2048,256,100,1,2026,local-e2-production-2048,1,member_addition,regional,0.999000000,ms,0.999000000,add one member to an identical n-1 active-member state,false,false,true,
2048,256,100,1,2026,local-e2-production-2048,1,member_addition,global,2.014500000,ms,2.014500000,add one member to an identical n-1 active-member state,false,false,true,
2048,256,100,1,2026,local-e2-production-2048,1,two_layer_member_addition,two_layer,3.013500000,ms,3.013500000,sum of one regional and one global member addition,false,false,true,
2048,256,100,1,2026,local-e2-production-2048,1,witness_generation,regional,47.174700000,ms,47.174700000,fresh witness for one active member,false,false,true,
2048,256,100,1,2026,local-e2-production-2048,1,witness_generation,global,49.431900000,ms,49.431900000,fresh witness for one active member,false,false,true,
2048,256,100,1,2026,local-e2-production-2048,1,two_layer_claim_generation,two_layer,96.606600000,ms,96.606600000,sum of regional and global witness generation,false,false,true,
2048,256,100,1,2026,local-e2-production-2048,1,membership_verification,regional,1.002800000,ms,1.002800000,one current regional witness,false,false,true,
2048,256,100,1,2026,local-e2-production-2048,1,membership_verification,global,1.997100000,ms,1.997100000,one current global witness,false,false,true,
2048,256,100,1,2026,local-e2-production-2048,1,two_layer_membership_verification,two_layer,2.999900000,ms,2.999900000,sum of current regional and global verification,false,false,true,
2048,256,100,1,2026,local-e2-production-2048,1,revocation,regional,49.877600000,ms,49.877600000,remove one member and recompute the regional accumulator,false,false,true,
2048,256,100,1,2026,local-e2-production-2048,1,revocation,global,44.736500000,ms,44.736500000,remove one member and recompute the global accumulator,false,false,true,
2048,256,100,1,2026,local-e2-production-2048,1,two_layer_revocation,two_layer,94.614100000,ms,94.614100000,sum of regional and global removal/recomputation,false,false,true,
2048,256,100,1,2026,local-e2-production-2048,1,single_witness_refresh_after_revocation,regional,38.564200000,ms,38.564200000,refresh one remaining member witness; not all members,false,false,true,
2048,256,100,1,2026,local-e2-production-2048,1,single_witness_refresh_after_revocation,global,44.752200000,ms,44.752200000,refresh one remaining member witness; not all members,false,false,true,
2048,256,100,1,2026,local-e2-production-2048,1,two_layer_single_witness_refresh_after_revocation,two_layer,83.316400000,ms,83.316400000,sum for one remaining member's regional and global witnesses; not all members,false,false,true,
2048,256,100,1,2026,local-e2-production-2048,1,membership_claim_json_size,two_layer,1920.000000000,bytes,,one regional+global context-bound membership claim JSON,false,false,true,
2048,256,100,1,2026,local-e2-production-2048,1,public_accumulator_state_json_size,two_layer,11550.000000000,bytes,,two public accumulator states including active prime representatives; no RSA factors,false,false,true,
2048,256,100,2,2026,local-e2-production-2048,1,hash_to_prime,regional,2.507600000,ms,2.507600000,one deterministic 256-bit prime representative; prime search included; RSA setup excluded,false,false,true,
2048,256,100,2,2026,local-e2-production-2048,1,hash_to_prime,global,1.006300000,ms,1.006300000,one deterministic 256-bit prime representative; prime search included; RSA setup excluded,false,false,true,
2048,256,100,2,2026,local-e2-production-2048,1,two_layer_hash_to_prime,two_layer,3.513900000,ms,3.513900000,sum for one regional and one global representative,false,false,true,
2048,256,100,2,2026,local-e2-production-2048,1,member_addition,regional,2.009100000,ms,2.009100000,add one member to an identical n-1 active-member state,false,false,true,
2048,256,100,2,2026,local-e2-production-2048,1,member_addition,global,1.997900000,ms,1.997900000,add one member to an identical n-1 active-member state,false,false,true,
2048,256,100,2,2026,local-e2-production-2048,1,two_layer_member_addition,two_layer,4.007000000,ms,4.007000000,sum of one regional and one global member addition,false,false,true,
2048,256,100,2,2026,local-e2-production-2048,1,witness_generation,regional,60.910500000,ms,60.910500000,fresh witness for one active member,false,false,true,
2048,256,100,2,2026,local-e2-production-2048,1,witness_generation,global,53.351900000,ms,53.351900000,fresh witness for one active member,false,false,true,
2048,256,100,2,2026,local-e2-production-2048,1,two_layer_claim_generation,two_layer,114.262400000,ms,114.262400000,sum of regional and global witness generation,false,false,true,
2048,256,100,2,2026,local-e2-production-2048,1,membership_verification,regional,2.344500000,ms,2.344500000,one current regional witness,false,false,true,
2048,256,100,2,2026,local-e2-production-2048,1,membership_verification,global,2.106300000,ms,2.106300000,one current global witness,false,false,true,
2048,256,100,2,2026,local-e2-production-2048,1,two_layer_membership_verification,two_layer,4.450800000,ms,4.450800000,sum of current regional and global verification,false,false,true,
2048,256,100,2,2026,local-e2-production-2048,1,revocation,regional,60.074800000,ms,60.074800000,remove one member and recompute the regional accumulator,false,false,true,
2048,256,100,2,2026,local-e2-production-2048,1,revocation,global,54.091800000,ms,54.091800000,remove one member and recompute the global accumulator,false,false,true,
2048,256,100,2,2026,local-e2-production-2048,1,two_layer_revocation,two_layer,114.166600000,ms,114.166600000,sum of regional and global removal/recomputation,false,false,true,
2048,256,100,2,2026,local-e2-production-2048,1,single_witness_refresh_after_revocation,regional,57.405300000,ms,57.405300000,refresh one remaining member witness; not all members,false,false,true,
2048,256,100,2,2026,local-e2-production-2048,1,single_witness_refresh_after_revocation,global,50.964900000,ms,50.964900000,refresh one remaining member witness; not all members,false,false,true,
2048,256,100,2,2026,local-e2-production-2048,1,two_layer_single_witness_refresh_after_revocation,two_layer,108.370200000,ms,108.370200000,sum for one remaining member's regional and global witnesses; not all members,false,false,true,
2048,256,100,2,2026,local-e2-production-2048,1,membership_claim_json_size,two_layer,1920.000000000,bytes,,one regional+global context-bound membership claim JSON,false,false,true,
2048,256,100,2,2026,local-e2-production-2048,1,public_accumulator_state_json_size,two_layer,11550.000000000,bytes,,two public accumulator states including active prime representatives; no RSA factors,false,false,true,
2048,256,100,3,2026,local-e2-production-2048,1,hash_to_prime,regional,2.130900000,ms,2.130900000,one deterministic 256-bit prime representative; prime search included; RSA setup excluded,false,false,true,
2048,256,100,3,2026,local-e2-production-2048,1,hash_to_prime,global,1.998900000,ms,1.998900000,one deterministic 256-bit prime representative; prime search included; RSA setup excluded,false,false,true,
2048,256,100,3,2026,local-e2-production-2048,1,two_layer_hash_to_prime,two_layer,4.129800000,ms,4.129800000,sum for one regional and one global representative,false,false,true,
2048,256,100,3,2026,local-e2-production-2048,1,member_addition,regional,2.167100000,ms,2.167100000,add one member to an identical n-1 active-member state,false,false,true,
2048,256,100,3,2026,local-e2-production-2048,1,member_addition,global,2.271700000,ms,2.271700000,add one member to an identical n-1 active-member state,false,false,true,
2048,256,100,3,2026,local-e2-production-2048,1,two_layer_member_addition,two_layer,4.438800000,ms,4.438800000,sum of one regional and one global member addition,false,false,true,
