orders,committee_size,t_priv,t_sig,run_id,seed,warmups_discarded,process_model,computation_mode,matched_pairs,input_encode_ms,sharing_ms,share_transfer_ms,reconstruction_ms,secure_sort_ms,plaintext_compute_sign_http_ms,threshold_response_ms,signature_verify_aggregate_ms,total_ms,request_payload_bytes,response_payload_bytes,total_payload_bytes,application_rounds,success,error
50,3,not_applicable_plaintext,2,1,3052027,5,independent_os_processes,committee-side plaintext comparison prototype,47,0.525100000,,,,,4.210600000,2.097000000,4.313800000,9.049500000,30675,247017,277692,1,true,
50,3,not_applicable_plaintext,2,2,3052028,5,independent_os_processes,committee-side plaintext comparison prototype,44,0.000000000,,,,,2.710400000,2.710400000,4.240400000,6.950800000,30606,234585,265191,1,true,
50,3,not_applicable_plaintext,2,3,3052029,5,independent_os_processes,committee-side plaintext comparison prototype,49,0.000000000,,,,,2.648100000,2.648100000,6.987300000,9.635400000,30636,254421,285057,1,true,
50,3,not_applicable_plaintext,2,4,3052030,5,independent_os_processes,committee-side plaintext comparison prototype,43,0.000000000,,,,,3.849200000,3.849200000,3.788200000,7.637400000,30606,230031,260637,1,true,
50,3,not_applicable_plaintext,2,5,3052031,5,independent_os_processes,committee-side plaintext comparison prototype,47,0.538200000,,,,,3.418000000,2.870500000,4.843000000,8.799200000,30627,247017,277644,1,true,
50,3,not_applicable_plaintext,2,6,3052032,5,independent_os_processes,committee-side plaintext comparison prototype,44,0.000000000,,,,,3.269600000,3.269600000,3.772800000,7.042400000,30639,234669,265308,1,true,
50,3,not_applicable_plaintext,2,7,3052033,5,independent_os_processes,committee-side plaintext comparison prototype,49,0.532100000,,,,,2.722900000,2.722900000,4.438400000,7.693400000,30627,254871,285498,1,true,
50,3,not_applicable_plaintext,2,8,3052034,5,independent_os_processes,committee-side plaintext comparison prototype,48,0.522400000,,,,,2.667600000,2.130700000,4.311300000,7.501300000,30600,250401,281001,1,true,
50,3,not_applicable_plaintext,2,9,3052035,5,independent_os_processes,committee-side plaintext comparison prototype,48,0.000000000,,,,,2.666300000,2.666300000,5.404900000,8.071200000,30630,250599,281229,1,true,
50,3,not_applicable_plaintext,2,10,3052036,5,independent_os_processes,committee-side plaintext comparison prototype,46,0.000000000,,,,,3.270700000,2.732800000,4.288800000,7.559500000,30603,242265,272868,1,true,
50,3,not_applicable_plaintext,2,11,3052037,5,independent_os_processes,committee-side plaintext comparison prototype,47,0.000000000,,,,,3.193900000,3.193900000,3.787300000,6.981200000,30645,246597,277242,1,true,
50,3,not_applicable_plaintext,2,12,3052038,5,independent_os_processes,committee-side plaintext comparison prototype,46,0.524700000,,,,,2.113200000,2.113200000,4.204700000,6.842600000,30609,242793,273402,1,true,
50,3,not_applicable_plaintext,2,13,3052039,5,independent_os_processes,committee-side plaintext comparison prototype,48,0.543300000,,,,,2.640200000,2.640200000,4.348900000,7.532400000,30579,250851,281430,1,true,
50,3,not_applicable_plaintext,2,14,3052040,5,independent_os_processes,committee-side plaintext comparison prototype,46,0.000000000,,,,,3.195100000,2.663900000,3.704400000,6.899500000,30621,243081,273702,1,true,
50,3,not_applicable_plaintext,2,15,3052041,5,independent_os_processes,committee-side plaintext comparison prototype,47,0.525300000,,,,,2.666100000,2.126300000,4.319700000,7.511100000,30579,246675,277254,1,true,
50,3,not_applicable_plaintext,2,16,3052042,5,independent_os_processes,committee-side plaintext comparison prototype,46,0.000000000,,,,,3.157400000,2.627200000,3.761100000,6.918500000,30651,242397,273048,1,true,
50,3,not_applicable_plaintext,2,17,3052043,5,independent_os_processes,committee-side plaintext comparison prototype,43,0.000000000,,,,,2.659900000,2.659900000,3.714000000,6.373900000,30606,230889,261495,1,true,
50,3,not_applicable_plaintext,2,18,3052044,5,independent_os_processes,committee-side plaintext comparison prototype,47,0.000000000,,,,,3.289400000,2.754000000,3.158200000,6.447600000,30624,246393,277017,1,true,
50,3,not_applicable_plaintext,2,19,3052045,5,independent_os_processes,committee-side plaintext comparison prototype,48,0.000000000,,,,,2.645400000,2.117100000,3.667300000,6.312700000,30648,250725,281373,1,true,
50,3,not_applicable_plaintext,2,20,3052046,5,independent_os_processes,committee-side plaintext comparison prototype,49,0.000000000,,,,,3.223800000,2.682700000,3.897200000,7.121000000,30600,254367,284967,1,true,
50,3,not_applicable_plaintext,2,21,3052047,5,independent_os_processes,committee-side plaintext comparison prototype,45,0.000000000,,,,,2.684200000,2.684200000,3.720600000,6.404800000,30600,238551,269151,1,true,
50,3,not_applicable_plaintext,2,22,3052048,5,independent_os_processes,committee-side plaintext comparison prototype,47,0.000000000,,,,,2.676400000,2.676400000,3.873300000,6.549700000,30513,246573,277086,1,true,
