variant,run_id,paired_block_id,deployment_index,deployment_id,seed,order_position,total_ms,plain_total_ms,delta_ms,relative_overhead_percent,input_hash_equal,semantic_hash_equal,success
PP_RETF,1,1,1,e5-d1-20260713T120859.405885700,102226,3,2811.415800000,2062.488700000,748.927100000,36.311815914,true,true,true
Plain_RETF,1,1,1,e5-d1-20260713T120859.405885700,102226,5,2062.488700000,2062.488700000,0.000000000,0.000000000,true,true,true
RETF_A,1,1,1,e5-d1-20260713T120859.405885700,102226,4,2778.700700000,2062.488700000,716.212000000,34.725620557,true,true,true
RETF_C,1,1,1,e5-d1-20260713T120859.405885700,102226,1,2067.143700000,2062.488700000,4.655000000,0.225698206,true,true,true
RETF_H,1,1,1,e5-d1-20260713T120859.405885700,102226,2,2068.814600000,2062.488700000,6.325900000,0.306711983,true,true,true
PP_RETF,2,2,1,e5-d1-20260713T120859.405885700,102326,3,2791.661000000,2070.536200000,721.124800000,34.827925250,true,true,true
Plain_RETF,2,2,1,e5-d1-20260713T120859.405885700,102326,1,2070.536200000,2070.536200000,0.000000000,0.000000000,true,true,true
RETF_A,2,2,1,e5-d1-20260713T120859.405885700,102326,2,2794.292100000,2070.536200000,723.755900000,34.954998613,true,true,true
RETF_C,2,2,1,e5-d1-20260713T120859.405885700,102326,5,2071.550400000,2070.536200000,1.014200000,0.048982481,true,true,true
RETF_H,2,2,1,e5-d1-20260713T120859.405885700,102326,4,2068.432800000,2070.536200000,-2.103400000,-0.101587212,true,true,true
PP_RETF,3,3,1,e5-d1-20260713T120859.405885700,102426,1,2899.554700000,2063.293400000,836.261300000,40.530411235,true,true,true
Plain_RETF,3,3,1,e5-d1-20260713T120859.405885700,102426,5,2063.293400000,2063.293400000,0.000000000,0.000000000,true,true,true
RETF_A,3,3,1,e5-d1-20260713T120859.405885700,102426,3,2813.170200000,2063.293400000,749.876800000,36.343682387,true,true,true
RETF_C,3,3,1,e5-d1-20260713T120859.405885700,102426,4,2070.890900000,2063.293400000,7.597500000,0.368221989,true,true,true
RETF_H,3,3,1,e5-d1-20260713T120859.405885700,102426,2,2064.084400000,2063.293400000,0.791000000,0.038336768,true,true,true
PP_RETF,4,4,1,e5-d1-20260713T120859.405885700,102526,3,2879.582800000,2074.715500000,804.867300000,38.794104541,true,true,true
Plain_RETF,4,4,1,e5-d1-20260713T120859.405885700,102526,1,2074.715500000,2074.715500000,0.000000000,0.000000000,true,true,true
RETF_A,4,4,1,e5-d1-20260713T120859.405885700,102526,4,2925.806500000,2074.715500000,851.091000000,41.022058205,true,true,true
RETF_C,4,4,1,e5-d1-20260713T120859.405885700,102526,2,2090.704100000,2074.715500000,15.988600000,0.770640601,true,true,true
RETF_H,4,4,1,e5-d1-20260713T120859.405885700,102526,5,2095.436700000,2074.715500000,20.721200000,0.998748985,true,true,true
PP_RETF,5,5,1,e5-d1-20260713T120859.405885700,102626,4,2777.679800000,2064.837700000,712.842100000,34.522911898,true,true,true
Plain_RETF,5,5,1,e5-d1-20260713T120859.405885700,102626,5,2064.837700000,2064.837700000,0.000000000,0.000000000,true,true,true
RETF_A,5,5,1,e5-d1-20260713T120859.405885700,102626,3,2770.324200000,2064.837700000,705.486500000,34.166680510,true,true,true
RETF_C,5,5,1,e5-d1-20260713T120859.405885700,102626,1,2068.930000000,2064.837700000,4.092300000,0.198189911,true,true,true
