variant,run_id,paired_block_id,order_position,deployment_index,deployment_id,seed,warmups_discarded_per_deployment,users,orders,matched_pairs,input_hash,semantic_hash,canonical_result_hash,local_matching_ms,preprocessing_ms,membership_ms,committee_ms,proposal_build_ms,endorsement_ms,ordering_submit_ms,event_wait_ms,finalization_ms,state_query_ms,total_ms,success,error
RETF_C,1,1,1,1,e5-d1-20260713T120859.405885700,102226,1,10,10,8,d8bfcfa49930f8c6342a92076aa5d18e7af8cb236818d1ea1f20baa53ff9cf7f,49684807fa928fbdc17b58079261a4769329607d156c93df4600dd766e27910c,ac2c26e5a5ff725fb8b93b09754e9f6970e8404f391d921f0632a66c1167890d,0.000000000,0.000000000,0.000000000,3.129200000,0.000000000,9.115300000,2.643400000,2046.634100000,2058.392800000,5.621700000,2067.143700000,true,
RETF_H,1,1,2,1,e5-d1-20260713T120859.405885700,102226,1,10,10,8,d8bfcfa49930f8c6342a92076aa5d18e7af8cb236818d1ea1f20baa53ff9cf7f,49684807fa928fbdc17b58079261a4769329607d156c93df4600dd766e27910c,ac2c26e5a5ff725fb8b93b09754e9f6970e8404f391d921f0632a66c1167890d,0.519700000,0.000000000,0.000000000,0.000000000,0.525200000,8.463800000,2.631300000,2050.601600000,2062.221900000,6.073000000,2068.814600000,true,
PP_RETF,1,1,3,1,e5-d1-20260713T120859.405885700,102226,1,10,10,8,d8bfcfa49930f8c6342a92076aa5d18e7af8cb236818d1ea1f20baa53ff9cf7f,49684807fa928fbdc17b58079261a4769329607d156c93df4600dd766e27910c,ac2c26e5a5ff725fb8b93b09754e9f6970e8404f391d921f0632a66c1167890d,0.000000000,0.000000000,461.789700000,3.773800000,0.000000000,288.439000000,10.017400000,2040.762900000,2339.219300000,5.576700000,2811.415800000,true,
RETF_A,1,1,4,1,e5-d1-20260713T120859.405885700,102226,1,10,10,8,d8bfcfa49930f8c6342a92076aa5d18e7af8cb236818d1ea1f20baa53ff9cf7f,49684807fa928fbdc17b58079261a4769329607d156c93df4600dd766e27910c,ac2c26e5a5ff725fb8b93b09754e9f6970e8404f391d921f0632a66c1167890d,0.509900000,0.000000000,432.895400000,0.000000000,0.000000000,290.206000000,3.185800000,2045.387100000,2338.778900000,5.984300000,2778.700700000,true,
Plain_RETF,1,1,5,1,e5-d1-20260713T120859.405885700,102226,1,10,10,8,d8bfcfa49930f8c6342a92076aa5d18e7af8cb236818d1ea1f20baa53ff9cf7f,49684807fa928fbdc17b58079261a4769329607d156c93df4600dd766e27910c,ac2c26e5a5ff725fb8b93b09754e9f6970e8404f391d921f0632a66c1167890d,0.527400000,0.000000000,0.000000000,0.000000000,0.000000000,8.982700000,2.108400000,2043.935300000,2055.026400000,6.934900000,2062.488700000,true,
Plain_RETF,2,2,1,1,e5-d1-20260713T120859.405885700,102326,1,10,10,8,6762357dd9c4234c91de2035f04401ed1ccd5cef15b482304256f98c4493c08c,b3b9635f571f7b09a4ae3db1194b2083eaf7ae2e4b49186f4166d6fdc28e31f7,9d269ce70a91b1765460eaf0919523958050ddbd961f96e790986d8aabd87c8d,0.542700000,0.000000000,0.000000000,0.000000000,0.000000000,10.017000000,4.303500000,2048.750500000,2063.071000000,6.377100000,2070.536200000,true,
RETF_A,2,2,2,1,e5-d1-20260713T120859.405885700,102326,1,10,10,8,6762357dd9c4234c91de2035f04401ed1ccd5cef15b482304256f98c4493c08c,b3b9635f571f7b09a4ae3db1194b2083eaf7ae2e4b49186f4166d6fdc28e31f7,9d269ce70a91b1765460eaf0919523958050ddbd961f96e790986d8aabd87c8d,0.531400000,0.000000000,457.280700000,0.000000000,0.000000000,284.336400000,2.657700000,2043.346900000,2330.341000000,6.139000000,2794.292100000,true,
PP_RETF,2,2,3,1,e5-d1-20260713T120859.405885700,102326,1,10,10,8,6762357dd9c4234c91de2035f04401ed1ccd5cef15b482304256f98c4493c08c,b3b9635f571f7b09a4ae3db1194b2083eaf7ae2e4b49186f4166d6fdc28e31f7,9d269ce70a91b1765460eaf0919523958050ddbd961f96e790986d8aabd87c8d,0.000000000,0.000000000,431.411800000,3.767500000,0.000000000,297.498500000,3.692800000,2048.921900000,2350.113200000,5.342800000,2791.661000000,true,
RETF_H,2,2,4,1,e5-d1-20260713T120859.405885700,102326,1,10,10,8,6762357dd9c4234c91de2035f04401ed1ccd5cef15b482304256f98c4493c08c,b3b9635f571f7b09a4ae3db1194b2083eaf7ae2e4b49186f4166d6fdc28e31f7,9d269ce70a91b1765460eaf0919523958050ddbd961f96e790986d8aabd87c8d,0.528500000,0.000000000,0.000000000,0.000000000,0.000000000,7.390800000,2.202000000,2051.326200000,2060.919000000,6.985300000,2068.432800000,true,
RETF_C,2,2,5,1,e5-d1-20260713T120859.405885700,102326,1,10,10,8,6762357dd9c4234c91de2035f04401ed1ccd5cef15b482304256f98c4493c08c,b3b9635f571f7b09a4ae3db1194b2083eaf7ae2e4b49186f4166d6fdc28e31f7,9d269ce70a91b1765460eaf0919523958050ddbd961f96e790986d8aabd87c8d,0.000000000,0.000000000,0.000000000,5.301600000,0.000000000,9.526100000,4.273100000,2046.674900000,2060.474100000,5.774700000,2071.550400000,true,
