case_id,orders,plain_result_hash,pp_result_hash,matched_pairs_equal,price_equal,quantity_equal,settlement_equal,penalties_equal,credit_updates_equal,order_states_equal,result_hash_equal,invariants_hold,permutation_stable,all_equal,plain_matched_pairs,pp_matched_pairs,notes
no_match,2,63557392b865e2acf9304aa3ad4d2310116b14359dc68119246a368283a3e24e,63557392b865e2acf9304aa3ad4d2310116b14359dc68119246a368283a3e24e,true,true,true,true,true,true,true,true,true,true,true,0,0,Buyer price below seller price.
single_pair,2,91d30e85a587221e37331dc3ae24f83728f700bf5c5ad86d501dcf5aa53f3313,91d30e85a587221e37331dc3ae24f83728f700bf5c5ad86d501dcf5aa53f3313,true,true,true,true,true,true,true,true,true,true,true,1,1,One buyer and one seller.
equal_prices,4,7d689b5b4f7676209dd61937172a559803b121fad1169c61683cbfe1c1f4fbd7,7d689b5b4f7676209dd61937172a559803b121fad1169c61683cbfe1c1f4fbd7,true,true,true,true,true,true,true,true,true,true,true,2,2,Multiple equal-price orders.
equal_opportunity_scores,4,5117a0c2a31b410a0530574948159423b5f61df0e4919adec7c4f1e731e7aa38,5117a0c2a31b410a0530574948159423b5f61df0e4919adec7c4f1e731e7aa38,true,true,true,true,true,true,true,true,true,true,true,3,3,Equal OS values exercise tie handling.
partial_quantity,3,34f85514cc7b6689c7a8b8bb61c40937a5481ba76d132d958c4f95fcc3acbb98,34f85514cc7b6689c7a8b8bb61c40937a5481ba76d132d958c4f95fcc3acbb98,true,true,true,true,true,true,true,true,true,true,true,2,2,Partial fills.
cross_region_scope,2,63557392b865e2acf9304aa3ad4d2310116b14359dc68119246a368283a3e24e,63557392b865e2acf9304aa3ad4d2310116b14359dc68119246a368283a3e24e,true,true,true,true,true,true,true,true,true,true,true,0,0,Different regions are separate matching rounds and cannot match.
cross_timeslot_scope,2,63557392b865e2acf9304aa3ad4d2310116b14359dc68119246a368283a3e24e,63557392b865e2acf9304aa3ad4d2310116b14359dc68119246a368283a3e24e,true,true,true,true,true,true,true,true,true,true,true,0,0,Different time slots are separate matching rounds and cannot match.
buy_heavy,4,17140636b3152e632377e6ba839e25cf566fba24cf77b94d11a8240fdc943bfb,17140636b3152e632377e6ba839e25cf566fba24cf77b94d11a8240fdc943bfb,true,true,true,true,true,true,true,true,true,true,true,1,1,Severely buy-heavy.
boundary_values,2,57cf2726efb13f021a269ce5e5fcf050e216db5a8a04f30433ab153c1c4ef4cd,57cf2726efb13f021a269ce5e5fcf050e216db5a8a04f30433ab153c1c4ef4cd,true,true,true,true,true,true,true,true,true,true,true,1,1,Boundary price and credit score.
maximum_test_scale,1000,3908404f5f5a0897eeb3238380727b5ca2a0f28227ee2b0efdf3bf401cf78650,3908404f5f5a0897eeb3238380727b5ca2a0f28227ee2b0efdf3bf401cf78650,true,true,true,true,true,true,true,true,true,true,true,428,428,500 buyers and 500 sellers.
