variant,concurrency,metric,n_total,n_success,n_numeric,success_rate,mean,median,sample_sd,p95_nearest_rank,mean_ci95_lower,mean_ci95_upper,t_critical_975,minimum,maximum
PP_RETF,1,total_ms,40,40,40,1.000000000,2877.030097500,2834.030100000,268.336611198,2886.809300000,2791.211915368,2962.848279632,2.022690225,2806.993200000,4527.106200000
PP_RETF,1,committed_workflows_per_s,40,40,40,1.000000000,0.347574307,0.347574307,0.000000000,0.347574307,0.347574307,0.347574307,2.022690225,0.347574307,0.347574307
PP_RETF,1,block_utilization,40,40,40,1.000000000,0.100000000,0.100000000,0.000000000,0.100000000,0.100000000,0.100000000,2.022690225,0.100000000,0.100000000
PP_RETF,1,transactions_in_block,40,40,40,1.000000000,1.000000000,1.000000000,0.000000000,1.000000000,1.000000000,1.000000000,2.022690225,1.000000000,1.000000000
PP_RETF,1,preprocessing_ms,40,40,40,1.000000000,0.076497500,0.000000000,0.184460042,0.505200000,0.017504337,0.135490663,2.022690225,0.000000000,0.531300000
PP_RETF,1,membership_ms,40,40,40,1.000000000,482.404250000,462.251050000,113.189605729,506.324800000,446.204470340,518.604029660,2.022690225,445.046600000,1173.784000000
PP_RETF,1,committee_ms,40,40,40,1.000000000,6.115527500,3.705250000,14.402175163,5.088300000,1.509490009,10.721564991,2.022690225,3.130200000,94.869400000
PP_RETF,1,finalization_ms,40,40,40,1.000000000,2379.708380000,2358.534750000,127.875897085,2378.629800000,2338.811698115,2420.605061885,2.022690225,2338.988800000,3165.921300000
PP_RETF,10,total_ms,40,40,40,1.000000000,1958.819822500,1983.509100000,59.512008740,2011.166900000,1939.786965290,1977.852679710,2.022690225,1853.582400000,2015.325600000
PP_RETF,10,committed_workflows_per_s,40,40,40,1.000000000,5.104186723,5.104186723,0.000000000,5.104186723,5.104186723,5.104186723,2.022690225,5.104186723,5.104186723
PP_RETF,10,block_utilization,40,40,40,1.000000000,1.000000000,1.000000000,0.000000000,1.000000000,1.000000000,1.000000000,2.022690225,1.000000000,1.000000000
PP_RETF,10,transactions_in_block,40,40,40,1.000000000,10.000000000,10.000000000,0.000000000,10.000000000,10.000000000,10.000000000,2.022690225,10.000000000,10.000000000
PP_RETF,10,preprocessing_ms,40,40,40,1.000000000,0.152822500,0.000000000,0.239187869,0.547800000,0.076326535,0.229318465,2.022690225,0.000000000,0.571700000
PP_RETF,10,membership_ms,40,40,40,1.000000000,1121.805402500,1117.517500000,73.252921902,1238.087500000,1098.377989575,1145.232815425,2.022690225,1027.113500000,1265.583700000
PP_RETF,10,committee_ms,40,40,40,1.000000000,8.929165000,8.642800000,2.068653456,12.336400000,8.267577756,9.590752244,2.022690225,6.209800000,14.802800000
PP_RETF,10,finalization_ms,40,40,40,1.000000000,813.890985000,805.150300000,47.454925248,902.909400000,798.714168837,829.067801163,2.022690225,726.308400000,905.602800000
PP_RETF,20,total_ms,40,40,40,1.000000000,2937.867375000,2950.178600000,65.920586501,3041.871800000,2916.784955895,2958.949794105,2.022690225,2848.614400000,3043.207600000
PP_RETF,20,committed_workflows_per_s,40,40,40,1.000000000,6.775838181,6.775838181,0.000000000,6.775838181,6.775838181,6.775838181,2.022690225,6.775838181,6.775838181
PP_RETF,20,block_utilization,40,40,40,1.000000000,1.000000000,1.000000000,0.000000000,1.000000000,1.000000000,1.000000000,2.022690225,1.000000000,1.000000000
PP_RETF,20,transactions_in_block,40,40,40,1.000000000,10.000000000,10.000000000,0.000000000,10.000000000,10.000000000,10.000000000,2.022690225,10.000000000,10.000000000
PP_RETF,20,preprocessing_ms,40,40,40,1.000000000,0.288815000,0.000000000,0.420988884,0.998900000,0.154176269,0.423453731,2.022690225,0.000000000,2.028500000
PP_RETF,20,membership_ms,40,40,40,1.000000000,1692.497967500,1689.480750000,84.189460932,1831.091500000,1665.572880910,1719.423054090,2.022690225,1510.387600000,1845.595800000
PP_RETF,20,committee_ms,40,40,40,1.000000000,8.261265000,7.434350000,3.438637153,11.265700000,7.161535865,9.360994135,2.022690225,4.826300000,24.752200000
PP_RETF,20,finalization_ms,40,40,40,1.000000000,1218.172127500,1202.165400000,81.785726436,1356.999100000,1192.015792232,1244.328462768,2.022690225,1067.658200000,1459.825800000
PP_RETF,5,total_ms,40,40,40,1.000000000,3221.699995000,3182.688000000,81.079840976,3396.049200000,3195.769412777,3247.630577223,2.022690225,3150.252600000,3396.679700000
PP_RETF,5,committed_workflows_per_s,40,40,40,1.000000000,1.551936315,1.551936315,0.000000000,1.551936315,1.551936315,1.551936315,2.022690225,1.551936315,1.551936315
PP_RETF,5,block_utilization,40,40,40,1.000000000,0.500000000,0.500000000,0.000000000,0.500000000,0.500000000,0.500000000,2.022690225,0.500000000,0.500000000
PP_RETF,5,transactions_in_block,40,40,40,1.000000000,5.000000000,5.000000000,0.000000000,5.000000000,5.000000000,5.000000000,2.022690225,5.000000000,5.000000000
PP_RETF,5,preprocessing_ms,40,40,40,1.000000000,0.193170000,0.000000000,0.309507850,0.773200000,0.094184621,0.292155379,2.022690225,0.000000000,1.004000000
PP_RETF,5,membership_ms,40,40,40,1.000000000,697.356310000,675.331450000,59.034489818,819.058000000,678.476170698,716.236449302,2.022690225,640.877500000,820.754600000
PP_RETF,5,committee_ms,40,40,40,1.000000000,5.632042500,5.643350000,0.919471390,7.094200000,5.337981385,5.926103615,2.022690225,4.277800000,7.328600000
PP_RETF,5,finalization_ms,40,40,40,1.000000000,2509.588725000,2503.176350000,26.333905321,2562.750800000,2501.166736390,2518.010713610,2.022690225,2475.886600000,2576.377400000
Plain_RETF,1,total_ms,40,40,40,1.000000000,2063.233617500,2061.488600000,6.270487952,2071.619000000,2061.228218853,2065.239016147,2.022690225,2056.296000000,2090.687800000
Plain_RETF,1,committed_workflows_per_s,40,40,40,1.000000000,0.484666713,0.484666713,0.000000000,0.484666713,0.484666713,0.484666713,2.022690225,0.484666713,0.484666713
Plain_RETF,1,block_utilization,40,40,40,1.000000000,0.100000000,0.100000000,0.000000000,0.100000000,0.100000000,0.100000000,2.022690225,0.100000000,0.100000000
Plain_RETF,1,transactions_in_block,40,40,40,1.000000000,1.000000000,1.000000000,0.000000000,1.000000000,1.000000000,1.000000000,2.022690225,1.000000000,1.000000000
Plain_RETF,1,preprocessing_ms,40,40,40,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.022690225,0.000000000,0.000000000
Plain_RETF,1,membership_ms,40,40,40,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.022690225,0.000000000,0.000000000
Plain_RETF,1,committee_ms,40,40,40,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.022690225,0.000000000,0.000000000
Plain_RETF,1,finalization_ms,40,40,40,1.000000000,2056.487437500,2054.882050000,5.580416006,2064.567400000,2054.702734492,2058.272140508,2.022690225,2049.617500000,2080.514000000
Plain_RETF,10,total_ms,40,40,40,1.000000000,96.985312500,98.409950000,3.425741312,100.696400000,95.889707653,98.080917347,2.022690225,90.068700000,101.204000000
Plain_RETF,10,committed_workflows_per_s,40,40,40,1.000000000,102.922536896,102.922536896,0.000000000,102.922536896,102.922536896,102.922536896,2.022690225,102.922536896,102.922536896
Plain_RETF,10,block_utilization,40,40,40,1.000000000,1.000000000,1.000000000,0.000000000,1.000000000,1.000000000,1.000000000,2.022690225,1.000000000,1.000000000
Plain_RETF,10,transactions_in_block,40,40,40,1.000000000,10.000000000,10.000000000,0.000000000,10.000000000,10.000000000,10.000000000,2.022690225,10.000000000,10.000000000
Plain_RETF,10,preprocessing_ms,40,40,40,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.022690225,0.000000000,0.000000000
Plain_RETF,10,membership_ms,40,40,40,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.022690225,0.000000000,0.000000000
Plain_RETF,10,committee_ms,40,40,40,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.022690225,0.000000000,0.000000000
Plain_RETF,10,finalization_ms,40,40,40,1.000000000,85.452310000,87.030700000,3.626101070,89.410100000,84.292627016,86.611992984,2.022690225,79.685200000,89.935600000
Plain_RETF,20,total_ms,40,40,40,1.000000000,188.396255000,189.046150000,25.526105319,227.399900000,180.232613275,196.559896725,2.022690225,149.554000000,228.470100000
Plain_RETF,20,committed_workflows_per_s,40,40,40,1.000000000,97.102344657,97.102344657,0.000000000,97.102344657,97.102344657,97.102344657,2.022690225,97.102344657,97.102344657
Plain_RETF,20,block_utilization,40,40,40,1.000000000,1.000000000,1.000000000,0.000000000,1.000000000,1.000000000,1.000000000,2.022690225,1.000000000,1.000000000
Plain_RETF,20,transactions_in_block,40,40,40,1.000000000,10.000000000,10.000000000,0.000000000,10.000000000,10.000000000,10.000000000,2.022690225,10.000000000,10.000000000
Plain_RETF,20,preprocessing_ms,40,40,40,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.022690225,0.000000000,0.000000000
Plain_RETF,20,membership_ms,40,40,40,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.022690225,0.000000000,0.000000000
Plain_RETF,20,committee_ms,40,40,40,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.022690225,0.000000000,0.000000000
Plain_RETF,20,finalization_ms,40,40,40,1.000000000,170.203590000,173.105700000,25.284059161,201.892700000,162.117358366,178.289821634,2.022690225,129.908500000,202.962000000
Plain_RETF,5,total_ms,40,40,40,1.000000000,2079.975497500,2078.028900000,6.711800963,2090.599900000,2077.828960153,2082.122034847,2.022690225,2068.551200000,2090.599900000
Plain_RETF,5,committed_workflows_per_s,40,40,40,1.000000000,2.403775817,2.403775817,0.000000000,2.403775817,2.403775817,2.403775817,2.022690225,2.403775817,2.403775817
Plain_RETF,5,block_utilization,40,40,40,1.000000000,0.500000000,0.500000000,0.000000000,0.500000000,0.500000000,0.500000000,2.022690225,0.500000000,0.500000000
Plain_RETF,5,transactions_in_block,40,40,40,1.000000000,5.000000000,5.000000000,0.000000000,5.000000000,5.000000000,5.000000000,2.022690225,5.000000000,5.000000000
Plain_RETF,5,preprocessing_ms,40,40,40,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.022690225,0.000000000,0.000000000
Plain_RETF,5,membership_ms,40,40,40,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.022690225,0.000000000,0.000000000
Plain_RETF,5,committee_ms,40,40,40,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.022690225,0.000000000,0.000000000
Plain_RETF,5,finalization_ms,40,40,40,1.000000000,2071.135240000,2069.809400000,5.723943357,2080.870600000,2069.304634734,2072.965845266,2.022690225,2061.677800000,2081.407100000
