orders,committee_size,t_sig,metric,n_total,n_success,n_numeric,success_rate,mean,median,sample_sd,p95_nearest_rank,mean_ci95_lower,mean_ci95_upper,t_critical_975,minimum,maximum
100,3,2,input_encode_ms,30,30,30,1.000000000,0.250046667,0.000000000,0.272015059,0.548100000,0.148474688,0.351618645,2.045227358,0.000000000,0.571300000
100,3,2,plaintext_compute_sign_http_ms,30,30,30,1.000000000,5.755576667,5.878500000,0.884995853,7.248900000,5.425114153,6.086039180,2.045227358,4.249700000,7.267800000
100,3,2,threshold_response_ms,30,30,30,1.000000000,5.197243333,5.379950000,0.715304648,6.134900000,4.930144486,5.464342180,2.045227358,3.721300000,7.132800000
100,3,2,signature_verify_aggregate_ms,30,30,30,1.000000000,8.382696667,8.045450000,1.005363335,10.658000000,8.007288247,8.758105086,2.045227358,6.339800000,11.903400000
100,3,2,total_ms,30,30,30,1.000000000,14.388320000,14.002100000,1.550787979,17.780000000,13.809246898,14.967393102,2.045227358,12.316800000,18.941100000
100,3,2,request_payload_bytes,30,30,30,1.000000000,60566.500000000,60567.000000000,28.154438616,60606.000000000,60555.986971585,60577.013028415,2.045227358,60519.000000000,60618.000000000
100,3,2,response_payload_bytes,30,30,30,1.000000000,492220.000000000,491655.000000000,11049.528655886,507969.000000000,488094.042799614,496345.957200386,2.045227358,471537.000000000,508227.000000000
100,3,2,total_payload_bytes,30,30,30,1.000000000,552786.500000000,552229.500000000,11053.816909042,568545.000000000,548658.941541357,556914.058458643,2.045227358,532071.000000000,568830.000000000
100,5,3,input_encode_ms,30,30,30,1.000000000,0.121873333,0.000000000,0.224710928,0.526700000,0.037964987,0.205781679,2.045227358,0.000000000,0.529400000
100,5,3,plaintext_compute_sign_http_ms,30,30,30,1.000000000,6.179363333,5.981800000,0.890150120,7.129600000,5.846976187,6.511750480,2.045227358,4.999600000,9.930700000
100,5,3,threshold_response_ms,30,30,30,1.000000000,5.594743333,5.432050000,0.767601550,7.103000000,5.308116524,5.881370143,2.045227358,4.230900000,7.129600000
100,5,3,signature_verify_aggregate_ms,30,30,30,1.000000000,13.150513333,13.193200000,1.230970890,15.079200000,12.690861762,13.610164904,2.045227358,10.994700000,16.431100000
100,5,3,total_ms,30,30,30,1.000000000,19.451750000,19.267050000,1.707790864,22.205900000,18.814051123,20.089448877,2.045227358,16.591700000,24.514900000
