batch_size,metric,n_total,n_success,n_numeric,success_rate,mean,median,sample_sd,p95_nearest_rank,mean_ci95_lower,mean_ci95_upper,t_critical_975,minimum,maximum
10,descriptor_hash_ms,100,100,100,1.000000000,0.005667200,0.000000000,0.017325052,0.050135000,0.002229534,0.009104866,1.984216935,0.000000000,0.074225000
10,batch_hash_ms,100,100,100,1.000000000,0.008060300,0.000000000,0.019813748,0.050720000,0.004128822,0.011991778,1.984216935,0.000000000,0.075275000
10,signature_generate_ms,100,100,100,1.000000000,0.029939850,0.040252500,0.029015027,0.075200000,0.024182639,0.035697061,1.984216935,0.000000000,0.100975000
10,signature_verify_ms,100,100,100,1.000000000,0.102317000,0.100100000,0.028335031,0.150025000,0.096694715,0.107939285,1.984216935,0.049930000,0.175760000
10,total_preprocess_ms,100,100,100,1.000000000,0.043667350,0.050010000,0.025957196,0.075275000,0.038516879,0.048817821,1.984216935,0.000000000,0.100975000
10,pipeline_with_verification_ms,100,100,100,1.000000000,0.145984350,0.149987500,0.032136606,0.200940000,0.139607750,0.152360950,1.984216935,0.092335000,0.235125000
10,signature_der_bytes,100,100,100,1.000000000,70.940000000,71.000000000,0.736082999,72.000000000,70.793945165,71.086054835,1.984216935,70.000000000,72.000000000
100,descriptor_hash_ms,100,100,100,1.000000000,0.073541700,0.061255000,0.027313741,0.115165000,0.068122061,0.078961339,1.984216935,0.000000000,0.150525000
100,batch_hash_ms,100,100,100,1.000000000,0.051204700,0.050355000,0.024963723,0.100070000,0.046251356,0.056158044,1.984216935,0.000000000,0.115525000
100,signature_generate_ms,100,100,100,1.000000000,0.076630950,0.075290000,0.028441485,0.125440000,0.070987542,0.082274358,1.984216935,0.000000000,0.139070000
100,signature_verify_ms,100,100,100,1.000000000,0.275048900,0.271322500,0.038853429,0.347720000,0.267339537,0.282758263,1.984216935,0.199740000,0.426955000
100,total_preprocess_ms,100,100,100,1.000000000,0.201377350,0.204330000,0.031601661,0.250515000,0.195106895,0.207647805,1.984216935,0.136580000,0.277785000
100,pipeline_with_verification_ms,100,100,100,1.000000000,0.476426250,0.472600000,0.046492064,0.571400000,0.467201216,0.485651284,1.984216935,0.400360000,0.659340000
100,signature_der_bytes,100,100,100,1.000000000,71.080000000,71.000000000,0.720269310,72.000000000,70.937082944,71.222917056,1.984216935,70.000000000,72.000000000
1000,descriptor_hash_ms,100,100,100,1.000000000,0.731968100,0.717200000,0.085573725,0.862950000,0.714988417,0.748947783,1.984216935,0.572790000,1.107810000
1000,batch_hash_ms,100,100,100,1.000000000,0.503508700,0.488297500,0.072919302,0.596915000,0.489039929,0.517977471,1.984216935,0.391665000,0.905775000
1000,signature_generate_ms,100,100,100,1.000000000,0.533483250,0.523615000,0.071349124,0.651115000,0.519326036,0.547640464,1.984216935,0.411075000,0.908555000
1000,signature_verify_ms,100,100,100,1.000000000,1.915805200,1.872662500,0.188856306,2.246500000,1.878332012,1.953278388,1.984216935,1.708170000,2.986455000
1000,total_preprocess_ms,100,100,100,1.000000000,1.768960050,1.719720000,0.182747421,2.146605000,1.732698997,1.805221103,1.984216935,1.530455000,2.564695000
1000,pipeline_with_verification_ms,100,100,100,1.000000000,3.684765250,3.586977500,0.338128693,4.218365000,3.617673182,3.751857318,1.984216935,3.279010000,5.551150000
1000,signature_der_bytes,100,100,100,1.000000000,71.030000000,71.000000000,0.702880078,72.000000000,70.890533345,71.169466655,1.984216935,70.000000000,72.000000000
50,descriptor_hash_ms,100,100,100,1.000000000,0.046827800,0.050315000,0.025728558,0.075815000,0.041722696,0.051932904,1.984216935,0.000000000,0.113460000
50,batch_hash_ms,100,100,100,1.000000000,0.024153600,0.012590000,0.026227915,0.063220000,0.018949413,0.029357787,1.984216935,0.000000000,0.084360000
50,signature_generate_ms,100,100,100,1.000000000,0.055564700,0.050727500,0.027722916,0.100755000,0.050063872,0.061065528,1.984216935,0.000000000,0.150320000
50,signature_verify_ms,100,100,100,1.000000000,0.192125850,0.184490000,0.033274802,0.252445000,0.185523407,0.198728293,1.984216935,0.115745000,0.314205000
50,total_preprocess_ms,100,100,100,1.000000000,0.126546100,0.123125000,0.037697451,0.191045000,0.119066108,0.134026092,1.984216935,0.050165000,0.263780000
50,pipeline_with_verification_ms,100,100,100,1.000000000,0.318671950,0.312882500,0.047415782,0.407080000,0.309263630,0.328080270,1.984216935,0.220040000,0.448455000
50,signature_der_bytes,100,100,100,1.000000000,71.110000000,71.000000000,0.694785775,72.000000000,70.972139430,71.247860570,1.984216935,70.000000000,72.000000000
500,descriptor_hash_ms,100,100,100,1.000000000,0.363544300,0.356690000,0.046026854,0.459175000,0.354411574,0.372677026,1.984216935,0.261985000,0.509175000
500,batch_hash_ms,100,100,100,1.000000000,0.244036900,0.240682500,0.031974949,0.301450000,0.237692376,0.250381424,1.984216935,0.175675000,0.341905000
500,signature_generate_ms,100,100,100,1.000000000,0.278508600,0.277205000,0.041614596,0.352180000,0.270251361,0.286765839,1.984216935,0.193480000,0.403520000
500,signature_verify_ms,100,100,100,1.000000000,0.967104600,0.950312500,0.082475717,1.112080000,0.950739629,0.983469571,1.984216935,0.845120000,1.387705000
500,total_preprocess_ms,100,100,100,1.000000000,0.886089800,0.870935000,0.081795446,1.028535000,0.869859809,0.902319791,1.984216935,0.714195000,1.080505000
