operation,evaluate_or_submit,metric,n_total,n_success,n_numeric,success_rate,mean,median,sample_sd,p95_nearest_rank,mean_ci95_lower,mean_ci95_upper,t_critical_975,minimum,maximum
committee_signature_set_verification,evaluate,proposal_build_ms,50,50,50,1.000000000,0.128482000,0.000000000,0.293396309,0.547500000,0.045099703,0.211864297,2.009574959,0.000000000,1.548400000
committee_signature_set_verification,evaluate,endorsement_ms,50,50,50,1.000000000,3.813102000,3.796300000,0.695943255,4.909900000,3.615317143,4.010886857,2.009574959,2.362900000,5.888000000
committee_signature_set_verification,evaluate,ordering_submit_ms,50,50,50,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.009574959,0.000000000,0.000000000
committee_signature_set_verification,evaluate,event_wait_ms,50,50,50,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.009574959,0.000000000,0.000000000
committee_signature_set_verification,evaluate,total_ms,50,50,50,1.000000000,3.941584000,3.811050000,0.745758039,5.532000000,3.729641940,4.153526060,2.009574959,2.362900000,6.017500000
committee_signature_set_verification,evaluate,input_bytes,50,50,50,1.000000000,2326.000000000,2326.000000000,0.000000000,2326.000000000,2326.000000000,2326.000000000,2.009574959,2326.000000000,2326.000000000
committee_signature_set_verification,evaluate,output_bytes,50,50,50,1.000000000,74.000000000,74.000000000,0.000000000,74.000000000,74.000000000,74.000000000,2.009574959,74.000000000,74.000000000
finalized_state_query,evaluate,proposal_build_ms,50,50,50,1.000000000,0.042120000,0.000000000,0.144308577,0.528200000,0.001107962,0.083132038,2.009574959,0.000000000,0.536600000
finalized_state_query,evaluate,endorsement_ms,50,50,50,1.000000000,2.837422000,2.662100000,0.572842797,3.929600000,2.674621901,3.000222099,2.009574959,2.054600000,3.989100000
finalized_state_query,evaluate,ordering_submit_ms,50,50,50,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.009574959,0.000000000,0.000000000
finalized_state_query,evaluate,event_wait_ms,50,50,50,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.009574959,0.000000000,0.000000000
finalized_state_query,evaluate,total_ms,50,50,50,1.000000000,2.879542000,2.718300000,0.583436642,3.953300000,2.713731164,3.045352836,2.009574959,2.054600000,4.170100000
finalized_state_query,evaluate,input_bytes,50,50,50,1.000000000,41.000000000,41.000000000,0.000000000,41.000000000,41.000000000,41.000000000,2.009574959,41.000000000,41.000000000
finalized_state_query,evaluate,output_bytes,50,50,50,1.000000000,3189.920000000,3190.000000000,0.565685425,3190.000000000,3189.759234003,3190.080765997,2.009574959,3186.000000000,3190.000000000
full_result_consistency_verification,evaluate,proposal_build_ms,50,50,50,1.000000000,0.075204000,0.000000000,0.188291472,0.539700000,0.021692163,0.128715837,2.009574959,0.000000000,0.542400000
full_result_consistency_verification,evaluate,endorsement_ms,50,50,50,1.000000000,4.889298000,5.039950000,1.146030643,6.740100000,4.563599740,5.214996260,2.009574959,2.696400000,7.640800000
full_result_consistency_verification,evaluate,ordering_submit_ms,50,50,50,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.009574959,0.000000000,0.000000000
full_result_consistency_verification,evaluate,event_wait_ms,50,50,50,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.009574959,0.000000000,0.000000000
full_result_consistency_verification,evaluate,total_ms,50,50,50,1.000000000,4.964502000,5.156650000,1.146765497,6.740100000,4.638594897,5.290409103,2.009574959,3.179100000,7.640800000
full_result_consistency_verification,evaluate,input_bytes,50,50,50,1.000000000,2326.000000000,2326.000000000,0.000000000,2326.000000000,2326.000000000,2326.000000000,2.009574959,2326.000000000,2326.000000000
full_result_consistency_verification,evaluate,output_bytes,50,50,50,1.000000000,22.000000000,22.000000000,0.000000000,22.000000000,22.000000000,22.000000000,2.009574959,22.000000000,22.000000000
preprocessing_evidence_submission,submit,proposal_build_ms,50,50,50,1.000000000,0.032554000,0.000000000,0.130278254,0.526500000,-0.004470665,0.069578665,2.009574959,0.000000000,0.574200000
preprocessing_evidence_submission,submit,endorsement_ms,50,50,50,1.000000000,17.904788000,17.611400000,1.449680144,20.879300000,17.492793519,18.316782481,2.009574959,15.875500000,22.948400000
