variant,metric,n_total,n_success,n_numeric,success_rate,mean,median,sample_sd,p95_nearest_rank,mean_ci95_lower,mean_ci95_upper,t_critical_975,minimum,maximum
PP_RETF,total_ms,30,30,30,1.000000000,2819.852323333,2798.287350000,71.557478572,2996.880800000,2793.132351545,2846.572295121,2.045227358,2747.461900000,3074.691700000
PP_RETF,local_matching_ms,30,30,30,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.045227358,0.000000000,0.000000000
PP_RETF,preprocessing_ms,30,30,30,1.000000000,0.071743333,0.000000000,0.186599942,0.537300000,0.002065848,0.141420819,2.045227358,0.000000000,0.602000000
PP_RETF,membership_ms,30,30,30,1.000000000,457.714203333,441.262000000,47.820013247,555.251300000,439.857936869,475.570469797,2.045227358,411.759900000,642.826900000
PP_RETF,committee_ms,30,30,30,1.000000000,4.230650000,3.957150000,0.779879171,5.655100000,3.939438657,4.521861343,2.045227358,3.161700000,6.107400000
PP_RETF,finalization_ms,30,30,30,1.000000000,2351.680023333,2344.855950000,25.842318043,2419.785400000,2342.030353965,2361.329692701,2.045227358,2318.660900000,2426.560200000
PP_RETF,state_query_ms,30,30,30,1.000000000,5.858693333,5.803150000,0.996609279,8.961900000,5.486553728,6.230832939,2.045227358,4.680900000,9.053900000
Plain_RETF,total_ms,30,30,30,1.000000000,2063.166863333,2061.496150000,8.532013851,2078.618300000,2059.980960561,2066.352766106,2.045227358,2051.844800000,2089.421600000
Plain_RETF,local_matching_ms,30,30,30,1.000000000,0.388756667,0.524050000,0.238851927,0.542700000,0.299567991,0.477945343,2.045227358,0.000000000,0.598700000
Plain_RETF,preprocessing_ms,30,30,30,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.045227358,0.000000000,0.000000000
Plain_RETF,membership_ms,30,30,30,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.045227358,0.000000000,0.000000000
Plain_RETF,committee_ms,30,30,30,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.045227358,0.000000000,0.000000000
Plain_RETF,finalization_ms,30,30,30,1.000000000,2056.418076667,2054.927450000,7.451300250,2068.245000000,2053.635718534,2059.200434799,2.045227358,2046.082200000,2079.456100000
Plain_RETF,state_query_ms,30,30,30,1.000000000,6.088806667,5.496300000,1.303869180,9.339200000,5.601934457,6.575678876,2.045227358,4.719800000,9.429500000
RETF_A,total_ms,30,30,30,1.000000000,2813.864050000,2794.378550000,68.989690268,2925.806500000,2788.102905052,2839.625194948,2.045227358,2746.190400000,3088.447000000
RETF_A,local_matching_ms,30,30,30,1.000000000,0.572306667,0.507450000,0.352084588,1.609300000,0.440836268,0.703777066,2.045227358,0.000000000,1.682000000
RETF_A,preprocessing_ms,30,30,30,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.045227358,0.000000000,0.000000000
RETF_A,membership_ms,30,30,30,1.000000000,451.706036667,439.527700000,33.410127133,512.560000000,439.230504098,464.181569235,2.045227358,416.838200000,575.281100000
RETF_A,committee_ms,30,30,30,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.045227358,0.000000000,0.000000000
