variant,metric,n_total,n_success,n_numeric,success_rate,mean,median,sample_sd,p95_nearest_rank,mean_ci95_lower,mean_ci95_upper,t_critical_975,minimum,maximum
PP_RETF,delta_ms,30,30,30,1.000000000,756.685460000,737.590600000,70.537550312,907.459200000,730.346335258,783.024584742,2.045227358,685.549700000,1018.329500000
PP_RETF,relative_overhead_percent,30,30,30,1.000000000,36.675740380,35.807236688,3.412547242,43.431119885,35.401475721,37.950005039,2.045227358,33.010909230,49.520920974
Plain_RETF,delta_ms,30,30,30,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.045227358,0.000000000,0.000000000
Plain_RETF,relative_overhead_percent,30,30,30,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.045227358,0.000000000,0.000000000
RETF_A,delta_ms,30,30,30,1.000000000,750.697186667,734.167050000,64.152369404,851.091000000,726.742324997,774.652048336,2.045227358,687.901600000,999.025400000
RETF_A,relative_overhead_percent,30,30,30,1.000000000,36.379858318,35.643572038,3.013552333,41.022058205,35.254580640,37.505135996,2.045227358,33.378731019,47.813490585
RETF_C,delta_ms,30,30,30,1.000000000,6.146563333,5.060850000,9.506705234,16.193300000,2.596705223,9.696421443,2.045227358,-23.147500000,32.334000000
RETF_C,relative_overhead_percent,30,30,30,1.000000000,0.298997689,0.244882482,0.459757623,0.789206864,0.127321563,0.470673815,2.045227358,-1.107842477,1.572388366
RETF_H,delta_ms,30,30,30,1.000000000,1.076736667,1.778550000,8.298103709,13.198400000,-2.021822721,4.175296055,2.045227358,-18.476200000,20.721200000
RETF_H,relative_overhead_percent,30,30,30,1.000000000,0.053159911,0.086250531,0.400613783,0.641832455,-0.096431568,0.202751389,2.045227358,-0.889674609,0.998748985
