variant,concurrency,metric,n_total,n_success,n_numeric,success_rate,mean,median,sample_sd,p95_nearest_rank,mean_ci95_lower,mean_ci95_upper,t_critical_975,minimum,maximum
PP_RETF,1,application_key_bytes,40,40,40,1.000000000,47.775000000,48.000000000,0.422902062,48.000000000,47.639749406,47.910250594,2.022690225,47.000000000,48.000000000
PP_RETF,1,application_value_bytes,40,40,40,1.000000000,501.775000000,502.000000000,0.422902062,502.000000000,501.639749406,501.910250594,2.022690225,501.000000000,502.000000000
PP_RETF,1,logical_public_state_bytes,40,40,40,1.000000000,549.550000000,550.000000000,0.845804124,550.000000000,549.279498811,549.820501189,2.022690225,548.000000000,550.000000000
PP_RETF,1,logical_public_state_bytes_per_order,40,40,40,1.000000000,54.955000000,55.000000000,0.084580412,55.000000000,54.927949881,54.982050119,2.022690225,54.800000000,55.000000000
PP_RETF,1,compact_couchdb_document_json_bytes,40,40,40,1.000000000,624.550000000,625.000000000,0.845804124,625.000000000,624.279498811,624.820501189,2.022690225,623.000000000,625.000000000
PP_RETF,1,fabric_private_data_bytes,40,40,40,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.022690225,0.000000000,0.000000000
PP_RETF,10,application_key_bytes,40,40,40,1.000000000,48.775000000,49.000000000,0.422902062,49.000000000,48.639749406,48.910250594,2.022690225,48.000000000,49.000000000
PP_RETF,10,application_value_bytes,40,40,40,1.000000000,502.775000000,503.000000000,0.422902062,503.000000000,502.639749406,502.910250594,2.022690225,502.000000000,503.000000000
PP_RETF,10,logical_public_state_bytes,40,40,40,1.000000000,551.550000000,552.000000000,0.845804124,552.000000000,551.279498811,551.820501189,2.022690225,550.000000000,552.000000000
PP_RETF,10,logical_public_state_bytes_per_order,40,40,40,1.000000000,55.155000000,55.200000000,0.084580412,55.200000000,55.127949881,55.182050119,2.022690225,55.000000000,55.200000000
PP_RETF,10,compact_couchdb_document_json_bytes,40,40,40,1.000000000,630.150000000,631.000000000,1.494434118,631.000000000,629.672056946,630.627943054,2.022690225,625.000000000,631.000000000
PP_RETF,10,fabric_private_data_bytes,40,40,40,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.022690225,0.000000000,0.000000000
PP_RETF,20,application_key_bytes,40,40,40,1.000000000,48.775000000,49.000000000,0.422902062,49.000000000,48.639749406,48.910250594,2.022690225,48.000000000,49.000000000
PP_RETF,20,application_value_bytes,40,40,40,1.000000000,502.775000000,503.000000000,0.422902062,503.000000000,502.639749406,502.910250594,2.022690225,502.000000000,503.000000000
PP_RETF,20,logical_public_state_bytes,40,40,40,1.000000000,551.550000000,552.000000000,0.845804124,552.000000000,551.279498811,551.820501189,2.022690225,550.000000000,552.000000000
PP_RETF,20,logical_public_state_bytes_per_order,40,40,40,1.000000000,55.155000000,55.200000000,0.084580412,55.200000000,55.127949881,55.182050119,2.022690225,55.000000000,55.200000000
PP_RETF,20,compact_couchdb_document_json_bytes,40,40,40,1.000000000,630.150000000,631.000000000,1.350213658,631.000000000,629.718180871,630.581819129,2.022690225,627.000000000,631.000000000
PP_RETF,20,fabric_private_data_bytes,40,40,40,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.022690225,0.000000000,0.000000000
PP_RETF,5,application_key_bytes,40,40,40,1.000000000,47.775000000,48.000000000,0.422902062,48.000000000,47.639749406,47.910250594,2.022690225,47.000000000,48.000000000
PP_RETF,5,application_value_bytes,40,40,40,1.000000000,501.775000000,502.000000000,0.422902062,502.000000000,501.639749406,501.910250594,2.022690225,501.000000000,502.000000000
PP_RETF,5,logical_public_state_bytes,40,40,40,1.000000000,549.550000000,550.000000000,0.845804124,550.000000000,549.279498811,549.820501189,2.022690225,548.000000000,550.000000000
PP_RETF,5,logical_public_state_bytes_per_order,40,40,40,1.000000000,54.955000000,55.000000000,0.084580412,55.000000000,54.927949881,54.982050119,2.022690225,54.800000000,55.000000000
PP_RETF,5,compact_couchdb_document_json_bytes,40,40,40,1.000000000,627.750000000,629.000000000,1.735747825,629.000000000,627.194881105,628.305118895,2.022690225,623.000000000,629.000000000
PP_RETF,5,fabric_private_data_bytes,40,40,40,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.022690225,0.000000000,0.000000000
