experiment,source_file,group_json,metric,n_total,n_success,n_numeric,success_rate,mean,median,sample_sd,p95_nearest_rank,mean_ci95_lower,mean_ci95_upper,t_critical_975,minimum,maximum
E1_preprocessing,fig3_preprocessing_statistics.csv,"{""batch_size"":""10""}",descriptor_hash_ms,100,100,100,1.000000000,0.005667200,0.000000000,0.017325052,0.050135000,0.002229534,0.009104866,1.984216935,0.000000000,0.074225000
E1_preprocessing,fig3_preprocessing_statistics.csv,"{""batch_size"":""10""}",batch_hash_ms,100,100,100,1.000000000,0.008060300,0.000000000,0.019813748,0.050720000,0.004128822,0.011991778,1.984216935,0.000000000,0.075275000
E1_preprocessing,fig3_preprocessing_statistics.csv,"{""batch_size"":""10""}",signature_generate_ms,100,100,100,1.000000000,0.029939850,0.040252500,0.029015027,0.075200000,0.024182639,0.035697061,1.984216935,0.000000000,0.100975000
E1_preprocessing,fig3_preprocessing_statistics.csv,"{""batch_size"":""10""}",signature_verify_ms,100,100,100,1.000000000,0.102317000,0.100100000,0.028335031,0.150025000,0.096694715,0.107939285,1.984216935,0.049930000,0.175760000
E1_preprocessing,fig3_preprocessing_statistics.csv,"{""batch_size"":""10""}",total_preprocess_ms,100,100,100,1.000000000,0.043667350,0.050010000,0.025957196,0.075275000,0.038516879,0.048817821,1.984216935,0.000000000,0.100975000
E1_preprocessing,fig3_preprocessing_statistics.csv,"{""batch_size"":""10""}",pipeline_with_verification_ms,100,100,100,1.000000000,0.145984350,0.149987500,0.032136606,0.200940000,0.139607750,0.152360950,1.984216935,0.092335000,0.235125000
E1_preprocessing,fig3_preprocessing_statistics.csv,"{""batch_size"":""10""}",signature_der_bytes,100,100,100,1.000000000,70.940000000,71.000000000,0.736082999,72.000000000,70.793945165,71.086054835,1.984216935,70.000000000,72.000000000
E1_preprocessing,fig3_preprocessing_statistics.csv,"{""batch_size"":""100""}",descriptor_hash_ms,100,100,100,1.000000000,0.073541700,0.061255000,0.027313741,0.115165000,0.068122061,0.078961339,1.984216935,0.000000000,0.150525000
E1_preprocessing,fig3_preprocessing_statistics.csv,"{""batch_size"":""100""}",batch_hash_ms,100,100,100,1.000000000,0.051204700,0.050355000,0.024963723,0.100070000,0.046251356,0.056158044,1.984216935,0.000000000,0.115525000
E1_preprocessing,fig3_preprocessing_statistics.csv,"{""batch_size"":""100""}",signature_generate_ms,100,100,100,1.000000000,0.076630950,0.075290000,0.028441485,0.125440000,0.070987542,0.082274358,1.984216935,0.000000000,0.139070000
E1_preprocessing,fig3_preprocessing_statistics.csv,"{""batch_size"":""100""}",signature_verify_ms,100,100,100,1.000000000,0.275048900,0.271322500,0.038853429,0.347720000,0.267339537,0.282758263,1.984216935,0.199740000,0.426955000
E1_preprocessing,fig3_preprocessing_statistics.csv,"{""batch_size"":""100""}",total_preprocess_ms,100,100,100,1.000000000,0.201377350,0.204330000,0.031601661,0.250515000,0.195106895,0.207647805,1.984216935,0.136580000,0.277785000
E1_preprocessing,fig3_preprocessing_statistics.csv,"{""batch_size"":""100""}",pipeline_with_verification_ms,100,100,100,1.000000000,0.476426250,0.472600000,0.046492064,0.571400000,0.467201216,0.485651284,1.984216935,0.400360000,0.659340000
E1_preprocessing,fig3_preprocessing_statistics.csv,"{""batch_size"":""100""}",signature_der_bytes,100,100,100,1.000000000,71.080000000,71.000000000,0.720269310,72.000000000,70.937082944,71.222917056,1.984216935,70.000000000,72.000000000
