capacity,distribution,instruction_count,fixed_public_loop_iterations,sorting_network_comparators
16,all-match,32360,1727,317
16,all-non-match,32360,1727,317
16,sparse-match,32360,1727,317
16,dense-match,32360,1727,317
16,equal-price,32360,1727,317
16,extreme-price,32360,1727,317
16,random-price,32360,1727,317
16,low-dummy,32360,1727,317
16,high-dummy,32360,1727,317
32,all-match,37849,6527,925
32,all-non-match,37849,6527,925
32,sparse-match,37849,6527,925
32,dense-match,37849,6527,925
32,equal-price,37849,6527,925
32,extreme-price,37849,6527,925
32,random-price,37849,6527,925
32,low-dummy,37849,6527,925
32,high-dummy,37849,6527,925
64,all-match,43445,25343,2557
64,all-non-match,43445,25343,2557
64,sparse-match,43445,25343,2557
64,dense-match,43445,25343,2557
64,equal-price,43445,25343,2557
64,extreme-price,43445,25343,2557
64,random-price,43445,25343,2557
64,low-dummy,43445,25343,2557
64,high-dummy,43445,25343,2557
128,all-match,52593,99839,6781
128,all-non-match,52593,99839,6781
128,sparse-match,52593,99839,6781
128,dense-match,52593,99839,6781
128,equal-price,52593,99839,6781
128,extreme-price,52593,99839,6781
128,random-price,52593,99839,6781
128,low-dummy,52593,99839,6781
128,high-dummy,52593,99839,6781
256,all-match,62448,396287,17405
256,all-non-match,62448,396287,17405
256,sparse-match,62448,396287,17405
256,dense-match,62448,396287,17405
256,equal-price,62448,396287,17405
256,extreme-price,62448,396287,17405
256,random-price,62448,396287,17405
256,low-dummy,62448,396287,17405
256,high-dummy,62448,396287,17405
