capacity,distribution,logical_message_events
16,all-match,41670
16,all-non-match,41670
16,sparse-match,41670
16,dense-match,41670
16,equal-price,41670
16,extreme-price,41670
16,random-price,41670
16,low-dummy,41670
16,high-dummy,41670
32,all-match,91509
32,all-non-match,91509
32,sparse-match,91509
32,dense-match,91509
32,equal-price,91509
32,extreme-price,91509
32,random-price,91509
32,low-dummy,91509
32,high-dummy,91509
64,all-match,212319
64,all-non-match,212319
64,sparse-match,212319
64,dense-match,212319
64,equal-price,212319
64,extreme-price,212319
64,random-price,212319
64,low-dummy,212319
64,high-dummy,212319
128,all-match,533253
128,all-non-match,533253
128,sparse-match,533253
128,dense-match,533253
128,equal-price,533253
128,extreme-price,533253
128,random-price,533253
128,low-dummy,533253
128,high-dummy,533253
256,all-match,1485465
256,all-non-match,1485465
256,sparse-match,1485465
256,dense-match,1485465
256,equal-price,1485465
256,extreme-price,1485465
256,random-price,1485465
256,low-dummy,1485465
256,high-dummy,1485465
