capacity,distribution,party0_sent_bytes_printed,party1_sent_bytes_printed,party2_sent_bytes_printed,global_sent_bytes_printed,global_received_bytes_derived
16,all-match,56556600,56556600,56236600,169350000,169350000
16,all-non-match,56556600,56556600,56236600,169350000,169350000
16,sparse-match,56556600,56556600,56236600,169350000,169350000
16,dense-match,56556600,56556600,56236600,169350000,169350000
16,equal-price,56556600,56556600,56236600,169350000,169350000
16,extreme-price,56556600,56556600,56236600,169350000,169350000
16,random-price,56556600,56556600,56236600,169350000,169350000
16,low-dummy,56556600,56556600,56236600,169350000,169350000
16,high-dummy,56556600,56556600,56236600,169350000,169350000
32,all-match,124540000,124540000,124220000,373300000,373300000
32,all-non-match,124540000,124540000,124220000,373300000,373300000
32,sparse-match,124540000,124540000,124220000,373300000,373300000
32,dense-match,124540000,124540000,124220000,373300000,373300000
32,equal-price,124540000,124540000,124220000,373300000,373300000
32,extreme-price,124540000,124540000,124220000,373300000,373300000
32,random-price,124540000,124540000,124220000,373300000,373300000
32,low-dummy,124540000,124540000,124220000,373300000,373300000
32,high-dummy,124540000,124540000,124220000,373300000,373300000
64,all-match,281489000,281489000,281489000,844467000,844467000
64,all-non-match,281489000,281489000,281489000,844467000,844467000
64,sparse-match,281489000,281489000,281489000,844467000,844467000
64,dense-match,281489000,281489000,281489000,844467000,844467000
64,equal-price,281489000,281489000,281489000,844467000,844467000
64,extreme-price,281489000,281489000,281489000,844467000,844467000
64,random-price,281489000,281489000,281489000,844467000,844467000
64,low-dummy,281489000,281489000,281489000,844467000,844467000
64,high-dummy,281489000,281489000,281489000,844467000,844467000
128,all-match,658779000,658779000,658779000,1976340000,1976340000
128,all-non-match,658779000,658779000,658779000,1976340000,1976340000
128,sparse-match,658779000,658779000,658779000,1976340000,1976340000
128,dense-match,658779000,658779000,658779000,1976340000,1976340000
128,equal-price,658779000,658779000,658779000,1976340000,1976340000
128,extreme-price,658779000,658779000,658779000,1976340000,1976340000
128,random-price,658779000,658779000,658779000,1976340000,1976340000
128,low-dummy,658779000,658779000,658779000,1976340000,1976340000
128,high-dummy,658779000,658779000,658779000,1976340000,1976340000
256,all-match,1611280000,1611280000,1610960000,4833510000,4833510000
256,all-non-match,1611280000,1611280000,1610960000,4833510000,4833510000
256,sparse-match,1611280000,1611280000,1610960000,4833510000,4833510000
256,dense-match,1611280000,1611280000,1610960000,4833510000,4833510000
256,equal-price,1611280000,1611280000,1610960000,4833510000,4833510000
256,extreme-price,1611280000,1611280000,1610960000,4833510000,4833510000
256,random-price,1611280000,1611280000,1610960000,4833510000,4833510000
256,low-dummy,1611280000,1611280000,1610960000,4833510000,4833510000
256,high-dummy,1611280000,1611280000,1610960000,4833510000,4833510000
