capacity,distribution,compiler_virtual_machine_rounds,party0_rounds,party1_rounds,party2_rounds
16,all-match,12228,13890,13890,13890
16,all-non-match,12228,13890,13890,13890
16,sparse-match,12228,13890,13890,13890
16,dense-match,12228,13890,13890,13890
16,equal-price,12228,13890,13890,13890
16,extreme-price,12228,13890,13890,13890
16,random-price,12228,13890,13890,13890
16,low-dummy,12228,13890,13890,13890
16,high-dummy,12228,13890,13890,13890
32,all-match,27076,30503,30503,30503
32,all-non-match,27076,30503,30503,30503
32,sparse-match,27076,30503,30503,30503
32,dense-match,27076,30503,30503,30503
32,equal-price,27076,30503,30503,30503
32,extreme-price,27076,30503,30503,30503
32,random-price,27076,30503,30503,30503
32,low-dummy,27076,30503,30503,30503
32,high-dummy,27076,30503,30503,30503
64,all-match,63654,70773,70773,70773
64,all-non-match,63654,70773,70773,70773
64,sparse-match,63654,70773,70773,70773
64,dense-match,63654,70773,70773,70773
64,equal-price,63654,70773,70773,70773
64,extreme-price,63654,70773,70773,70773
64,random-price,63654,70773,70773,70773
64,low-dummy,63654,70773,70773,70773
64,high-dummy,63654,70773,70773,70773
128,all-match,162853,177751,177751,177751
128,all-non-match,162853,177751,177751,177751
128,sparse-match,162853,177751,177751,177751
128,dense-match,162853,177751,177751,177751
128,equal-price,162853,177751,177751,177751
128,extreme-price,162853,177751,177751,177751
128,random-price,162853,177751,177751,177751
128,low-dummy,162853,177751,177751,177751
128,high-dummy,162853,177751,177751,177751
256,all-match,463560,495155,495155,495155
256,all-non-match,463560,495155,495155,495155
256,sparse-match,463560,495155,495155,495155
256,dense-match,463560,495155,495155,495155
256,equal-price,463560,495155,495155,495155
256,extreme-price,463560,495155,495155,495155
256,random-price,463560,495155,495155,495155
256,low-dummy,463560,495155,495155,495155
256,high-dummy,463560,495155,495155,495155
