run_id,run_index,sample_class,capacity,release_commit,oci_digest,task_id_hash,session_id_hash,runtime_profile_verified,real_anoncred,real_mpc,mock,legacy,success,summary_sha256,raw_log_sha256,cold_or_warm,launch_total_ms,online_including_preprocessing_ms,offline_time_ms,offline_online_split_available,party_time_min_ms,party_time_max_ms,sent_bytes_sum,global_sent_bytes,received_bytes_estimate,round_count,peak_cpu_percent_max_party,peak_memory_bytes_max_party,container_stats_samples,program_digest,session_runtime_root
cap16-measured-00,0,measured,16,559e0bb531b3e4330c532e624d546d616c7849eb,sha256:532a8ccbe2aa5cc8d5d789fd51537f7e03d80aa07758509b75d4e14f13d76079,f50858b166fcea457f2c4f1bfbefee1d9d700dae18b8ce06dcaef1a70b718b41,685db3707e5f20c751c141214cd74cfae79444941a0e89bd0642cc9dfa78b030,True,True,True,False,False,True,7da9475f58f57b724ee28e77f84cc61bcbb9b4951e20f590e6432c6944902508,de60f96b1462386eb24719a1582ec539ab4e5881cb104e1dc5236cbb32bf83c0,warm,123228.590792,113460.0,,False,113460.0,113460.0,6632980000,6632970000,6632980000,217165,99.19,311217357,52,3fb80d6c88c30c8b24bfe312094037f925a01cd8566a2c491ae3ec0d883a37cd,9879e8ffbade248c570aaeec2186f9d760403d972403c3455dd0ab9392f30373
cap16-measured-01,1,measured,16,559e0bb531b3e4330c532e624d546d616c7849eb,sha256:532a8ccbe2aa5cc8d5d789fd51537f7e03d80aa07758509b75d4e14f13d76079,35ae283b6620516d10edcc78c261fd3055ee271b7869c33d7460ecd5da2763b7,9d82e277b746d857ef95befecd9f6ef08d24398630b048b1ead21e0ce61d657a,True,True,True,False,False,True,c97d3a562762e48c58d0dc35c829025caa0d8afcce3fb18aa5f72cf1c344e8d7,6a143c2fb406e2aba9332655671819c9238069b4dba636a8926eb0d2031e0965,warm,136358.46053,124933.0,,False,124932.0,124933.0,6628930000,6628920000,6628930000,217094,99.75,393845146,76,3fb80d6c88c30c8b24bfe312094037f925a01cd8566a2c491ae3ec0d883a37cd,ec56ecbb40c07b149c096bcee4e1cff99b2201d2672e5f23c6415a8c3014ab40
cap16-measured-02,2,measured,16,559e0bb531b3e4330c532e624d546d616c7849eb,sha256:532a8ccbe2aa5cc8d5d789fd51537f7e03d80aa07758509b75d4e14f13d76079,b5f2f25e8bc332ef568f04d1ef564ba9268f52cdccd8ba434c343d9a59f0e0a9,176a8141f862c657785d50b1d7c902e9e5ed0d50351c1d9e827c390093c34b57,True,True,True,False,False,True,0ff19abeda6e66275e151d200110dcae04c1d79907eb71ec3490fb87c0a0fa03,607f73a962d10b6bd315fa5d599aed0ecea39ea44f2213f558a1aa87a7105fba,warm,142487.765484,130614.0,,False,130613.0,130614.0,6641650000,6641660000,6641650000,217340,99.15,311741645,60,3fb80d6c88c30c8b24bfe312094037f925a01cd8566a2c491ae3ec0d883a37cd,3c3f08cbca22a5d68f7cc4e594580a88a8e57fa75aa29026f15052df23344d63
cap16-measured-03,3,measured,16,559e0bb531b3e4330c532e624d546d616c7849eb,sha256:532a8ccbe2aa5cc8d5d789fd51537f7e03d80aa07758509b75d4e14f13d76079,bae3e3257437fd855ad009f7df1fc19bc767fb92d1f8bbf0e6ab3ec065155d47,e5124dd74b0e36a9934fcef640f7a842a78fc939185b3ca55465c706b0bf78d3,True,True,True,False,False,True,3b5ffc76dda94f4306879ce745bf3e5c0f074b0a1f2a8562f1a26c96296cdeb4,d3b8fe83dc003b021aaf9496a191e2666704d60088b180bba24f7d76f7cf6a03,warm,130038.805137,119989.0,,False,119988.0,119989.0,6633760000,6633750000,6633760000,217209,99.35,310693069,63,3fb80d6c88c30c8b24bfe312094037f925a01cd8566a2c491ae3ec0d883a37cd,4c19ddfed4c2293150a9069cd2b2aba92c3fb528bdc8dc71f8bd4b9988142b8a
cap16-measured-04,4,measured,16,559e0bb531b3e4330c532e624d546d616c7849eb,sha256:532a8ccbe2aa5cc8d5d789fd51537f7e03d80aa07758509b75d4e14f13d76079,87a8c7b9c668dd423e9d8aefd7307e2ab7bac6cb93c421b304776de7b07f6d3c,7ff6aed64d7449ca8952364abc30af76afd1a968a0aeccdda33bccdba22fc3ad,True,True,True,False,False,True,b152ed4cc23bc4c48b677a0127f7ac9b72a367ac3f16a89d4e11ef85b2da3c05,7844a1e87b6b4048921c3e0c10c1078940e4657088e26248589b181eae7965cd,warm,140849.806916,130298.0,,False,130298.0,130298.0,6620550000,6620560000,6620550000,216972,99.64,310797926,70,3fb80d6c88c30c8b24bfe312094037f925a01cd8566a2c491ae3ec0d883a37cd,c434c21d1ccd3297b21ef5949759c07387d3be3f56239155fbe77c2ef7918cd1
cap16-measured-05,5,measured,16,559e0bb531b3e4330c532e624d546d616c7849eb,sha256:532a8ccbe2aa5cc8d5d789fd51537f7e03d80aa07758509b75d4e14f13d76079,2df38c05a1867bc84f1a280b418b0b2fc140f36f7f514415b5455a6bbc020785,8f042ddfa8d7322a19adbffaa1dc9a6c02d2dd15c0ddf6795f4e32cf9c777837,True,True,True,False,False,True,553aa243cbcb906d348f1f7966c4a11dd8144dc5465d0c723ffb4fc410907ac2,cd6d8c8848e0f5bed73c0f02e363f5495c5df00c075117e05c89c064b8744783,warm,131381.906305,119505.0,,False,119505.0,119505.0,6632980000,6632970000,6632980000,217165,99.1,424358707,61,3fb80d6c88c30c8b24bfe312094037f925a01cd8566a2c491ae3ec0d883a37cd,7d1f3e5f6fc9b05a1cd6a916d37db36f13baa3ed5329ba1f64778b1be7eef720
cap16-measured-06,6,measured,16,559e0bb531b3e4330c532e624d546d616c7849eb,sha256:532a8ccbe2aa5cc8d5d789fd51537f7e03d80aa07758509b75d4e14f13d76079,8c913326781465b08d87cb4e9ea024da92454084393a70b3722099de87bbe85e,f1288504b1e2efe3c38fbef6fee25d98971e91fa7da1a2895ed063777ffbca90,True,True,True,False,False,True,91e681c760a970af1a6f690a99092c5d541a6723ac57d17d1265fde80b37e1d8,ab18f66be8bb8093844f35555ca08654b6061cb9223d8d8c592fd2c46284c4ea,warm,144690.594966,133030.0,,False,132984.0,133030.0,6628330000,6628330000,6628330000,217061,99.0,310797926,73,3fb80d6c88c30c8b24bfe312094037f925a01cd8566a2c491ae3ec0d883a37cd,1578c517ec65b704aff1433bbbd5d1cd8e4fe504f1af9daf087ea07691570854
cap16-measured-07,7,measured,16,559e0bb531b3e4330c532e624d546d616c7849eb,sha256:532a8ccbe2aa5cc8d5d789fd51537f7e03d80aa07758509b75d4e14f13d76079,42320c2e53d1ecbed111e1b379064f07b3a9ed3f898137db4bd70adebdf63969,f53393ac708d06337a8b89bf44d70f836b9c379d55bfefaae8fef5a8a64ece5b,True,True,True,False,False,True,dded73339e7564a8fe5ddf81b98481fdb77dadc572cb058378f396b45ac5455c,46cbcfdb63cebadd3b873138cb2b19c8ba03f0f8c299447b5ee502dca1b202d5,warm,126312.817983,116810.0,,False,116810.0,116810.0,6615930000,6615920000,6615930000,216868,99.45,311636787,61,3fb80d6c88c30c8b24bfe312094037f925a01cd8566a2c491ae3ec0d883a37cd,2f9e0113598285b456c6be24b4680277e19bafdb560aeebfb60dc8e3bac422e5
cap16-measured-08,8,measured,16,559e0bb531b3e4330c532e624d546d616c7849eb,sha256:532a8ccbe2aa5cc8d5d789fd51537f7e03d80aa07758509b75d4e14f13d76079,7487a2bc4734aa2e77219c27c86f914fdb7d8fa25b2cf36d4eae86d160e1a383,24d8fdf0fef1378c6f2dd8453f58d827dc444a4c5bafd196f8efd91803ef009b,True,True,True,False,False,True,a967495a9d1de6fc965bf8f8d29045101bbf65541670bae061b6c5f7dd3f18b0,688c05692909a0779af35ca5fec5f10bf5ed31c559d6ccab3d500c7db5d4ad2c,warm,158510.645646,143466.0,,False,143466.0,143466.0,6624030000,6624030000,6624030000,217010,99.7,311427072,66,3fb80d6c88c30c8b24bfe312094037f925a01cd8566a2c491ae3ec0d883a37cd,0e62462681a7a49cac81a1de366e513ac8bda56a708b07f28e2e81d9f3a5ce49
cap16-measured-09,9,measured,16,559e0bb531b3e4330c532e624d546d616c7849eb,sha256:532a8ccbe2aa5cc8d5d789fd51537f7e03d80aa07758509b75d4e14f13d76079,7cb5c22d37e3303041e278ac836602a5d89eee941cef8094e94bdd4a5586a4e7,b86be93a80ee7206c5811104d755a9f719688f6453bfa8d0d8762243d2a10a78,True,True,True,False,False,True,e2dd437c840f6b20e7e679ff0200f6881eaf583d2328c930bef928052b7e6be2,3544acff1ebfd0ccf52e291b957f5f7d8ddeba8eb4ce43247f93d0bec2c710fa,warm,136106.235593,119105.0,,False,118928.0,119105.0,6628540000,6628530000,6628540000,217072,100.25,353684685,65,3fb80d6c88c30c8b24bfe312094037f925a01cd8566a2c491ae3ec0d883a37cd,461f6823bb312de9971493391555376fb293b92675b8e279d793ff5a437a158a
